ID,Site,MAT,MAP,Plot,Myco,ECM,LitCN,LitLCI,LitLigN,LitSol,LitLig,Froot,Croot,Sand,Silt,Clay,Feo,Alo,Gwc,Whc,Nmin,Nit,SoilT,pH,Glu,Gal,Mur,DOC,CFE,Growth,CUE,ResTime,Cup,N,C,MAOMN,MAOMC
44,TRC,13.5,957,8,ECM,81.36,58.86719094,0.402605593,30.66881501,37.42106305,24.66468991,1.913933684,3.339961974,4,85,11,2.17,2.1,0.23,0.75,0.43,0.46,21.7,6.24,1650.8,720.3,53.1,28.59,842.91,4.07,0.16,206.9,25.8,0.0027,0.0339,0.0013,0.0137
45,TRC,13.5,957,9,ECM,85.42,39.1280265,0.318466893,18.34717423,31.86577994,20.53462123,4.161965424,1.244718979,16,76,8,1.31,3.19,0.17,0.71,1.05,0.9,22.5,6.26,1733.8,709.4,65.2,36.53,869.04,6.3,0.17,138,36.6,0.0031,0.0392,0.0015,0.0174
46,WLF,4.2,805,1,AM,16.51,48.57537737,0.363689071,21.9864313,40.95547388,20.80567752,16.83528256,4.751729981,27,66,7,3.5,1.15,0.54,1.4,2.04,2.87,16.7,5.47,3700.5,1713.7,103.1,40.45,1459.87,9.12,0.13,160.1,69.2,0.0053,0.0741,0.0015,0.015
47,WLF,4.2,805,2,AM,8.94,44.21896225,0.349592849,21.13049699,39.41276596,20.49287471,24.93716043,9.667453215,19,74,7,2.22,0.5,0.44,1.2,-0.33,0.59,16.1,5.08,3249,1135.3,112.7,39.72,1421.4,10.35,0.17,137.3,60,0.0047,0.0631,0.0016,0.0177
48,WLF,4.2,805,3,AM,14.38,48.85537982,0.379477282,22.27211446,42.66492782,21.18160956,23.74438962,4.515416721,18,71,11,6.33,3.92,0.53,1.55,3.42,3.88,15.8,4.35,3914.5,1445.5,171,34.88,2438.37,6.47,0.11,376.8,56.8,0.0086,0.1029,0.0019,0.0286
49,WLF,4.2,805,4,MIX,54.71,46.57774436,0.392648672,22.81594406,39.62585841,23.33902489,22.20937203,4.544955879,21,72,7,2.27,0.6,0.35,1.39,-1.98,-1.4,16,4.23,3797.2,1074.1,108.3,64.5,1482.49,9.73,0.16,152.4,61.6,0.0056,0.0882,0.0016,0.0176
50,WLF,4.2,805,5,MIX,44.58,43.40105442,0.385796207,21.87476012,37.70011247,23.68067659,21.72655959,9.634858283,45,49,6,1.7,0.36,0.48,1.65,-4.84,-3.8,15.5,4.23,5669.9,1416.3,143.8,57.6,1718.78,13.57,0.15,126.6,92.1,0.0063,0.1111,0.0015,0.0155
51,WLF,4.2,805,6,MIX,51.6,40.95486203,0.384648829,21.18204538,36.82355702,23.965034,18.58929735,2.337667804,15,78,7,3.76,0.55,0.42,1.15,0.89,1.22,16.5,5.06,2848.4,1022.3,116.7,33.42,1018.11,8.54,0.18,119.2,48.5,0.0042,0.0566,0.0019,0.0209
52,WLF,4.2,805,7,ECM,87.96,37.60081987,0.382694478,20.99296742,32.5981109,25.59528577,23.62215863,4.524584046,71,24,5,1.78,0.6,0.27,1.45,-6.94,-5.16,16.5,5.25,5593.9,1331.6,113.9,419.71,2277.46,45.85,0.14,49.7,322.8,0.0068,0.0946,0.0017,0.0199
53,WLF,4.2,805,8,ECM,90.85,44.40199868,0.455308327,25.60813101,36.55490814,28.57170977,13.15612957,4.896369993,48,47,5,1.99,0.49,0.27,1.41,-2.21,-1.84,15.8,4.57,4289.3,1149.6,93.4,78.62,1651.09,10.02,0.25,164.8,39.4,0.008,0.1219,0.0011,0.0119
54,WLF,4.2,805,9,ECM,90.38,36.73178043,0.392382272,21.21829721,32.23175272,26.3933226,11.9470613,4.187430215,70,25,5,1.66,0.37,0.17,0.75,-0.19,-0.06,16.6,4.63,1776.8,608.4,52.8,62.12,646.91,3.38,0.1,191.2,34.5,0.0014,0.0191,0.0009,0.011
